ID;firstname;lastname;Salary;Sold;Sold1;Sold2;Status;Invest
49;Lamar;Hickman;5706;67913;72353;57711;1;1
50;Logan;Vega;6064;61355;71837;56086;1;1
51;Hector;Camacho;5812;62122;54458;60983;1;1
52;Roary;Melton;5725;86381;78844;86031;1;1
53;Maia;Ingram;6754;88880;55013;78582;1;1
54;Austin;Mcmahon;6138;86905;74370;60079;1;1
55;Tallulah;Dixon;5881;79027;71369;86841;1;1
56;Maisie;Pruitt;6929;89840;80284;66440;1;1
57;Isabelle;Patton;5910;88398;66278;73943;1;1
58;Holly;Roy;7217;58865;87757;61839;1;1
59;Julie;Gardner;6874;65255;86757;59173;1;1
60;Lawrence;Hill;6206;74318;85915;82586;1;1
61;Kenneth;Rosario;6108;61933;52748;76941;1;1
62;Coby;Webster;6449;50982;63580;68725;1;1
63;Aristotle;Buckley;5013;51844;84983;79063;1;1
64;Finn;Lancaster;5685;66381;87387;86834;1;1
65;Guinevere;Osborn;5102;80756;71322;57599;1;1
66;Ivan;Landry;5127;63029;75690;72286;1;1
67;Dillon;Riggs;6785;63735;72030;56308;1;1
68;Xyla;Jefferson;5398;86254;73565;81956;1;1
69;Daniel;Maddox;6736;89313;75819;62431;1;1
70;Declan;Whitley;5190;82380;88841;70871;1;1
71;Maya;Barr;5510;50692;52012;52714;1;1
72;Ulla;Owens;5837;77633;81889;66804;1;1
73;Mason;Haley;6033;83269;71016;65520;1;1
74;Avram;Farley;7028;87962;76287;66213;1;1
75;Tiger;Bolton;6163;86795;88578;66231;1;1
76;Zephr;Harris;5751;64791;73581;74189;1;1
77;Juliet;Herman;6836;57668;52421;87013;1;1
78;Armand;Taylor;7377;82503;54282;54824;1;1
79;Erin;Curry;7294;50172;70784;83307;1;1
80;Xena;Leach;7116;72468;65395;62120;1;1
81;Wing;Barr;6969;81193;73393;80873;1;1
82;Kane;Mclaughlin;6007;76656;52000;70417;1;1
83;Asher;Chavez;7090;73255;55387;68981;1;1
84;Bryar;Bowman;5682;65670;88496;63734;1;1
85;Scott;Drake;6681;72811;82705;77546;1;1
86;Gloria;Reilly;6931;88052;58621;84119;1;1
87;Travis;Mcneil;5743;60648;82262;72831;1;1
88;Otto;Christensen;6140;58699;70560;68784;1;1
89;Prescott;Alston;5549;59906;70452;66590;1;1
90;Quinn;Waller;5504;50180;84352;80474;1;1
91;Nasim;Goff;7228;54584;68373;75276;1;1
92;Mallory;Miller;5919;65744;89915;85814;1;1
93;Jane;Powell;6283;63181;64044;82900;1;1
94;Ferdinand;Riley;5286;61317;71535;82867;1;1
95;Bertha;Sheppard;5122;71777;88173;80532;1;1
96;Bruno;Chavez;7114;67195;60239;87670;1;1
97;Leslie;Keith;7433;84503;62105;80214;1;1
98;Bert;Ellison;6830;89161;59080;64456;1;1
99;Aurora;Wheeler;7442;52764;75033;67987;1;1
100;Clarke;Strong;5560;87386;88973;53449;1;1
101;Keiko;Marsh;1303;723;914;634;2;0
102;Wallace;Aguilar;1393;942;837;719;2;0
103;Basia;Barnes;1182;621;647;829;2;0
104;Katell;Solis;1175;581;684;806;2;0
105;Randall;Tyler;1001;877;688;920;2;0
106;Mona;Bowen;1173;638;798;855;2;0
107;Uriah;Newman;1068;931;707;946;2;0
108;Dennis;Delgado;1427;768;961;688;2;0
109;Lenore;Davis;1102;817;792;894;2;0
110;Chava;Potter;1193;592;922;729;2;0
111;Thomas;Jefferson;1294;943;687;559;2;0
112;Fuller;Melton;1219;633;783;908;2;0
113;Calvin;Bradford;1459;918;678;954;2;0
114;Amir;Lowe;1091;556;763;771;2;0
115;Felix;Slater;1384;839;847;907;2;0
116;Keely;Maynard;1271;850;678;984;2;0
117;Ramona;Graves;1039;819;762;952;2;0
118;Rooney;Wolf;1302;625;781;792;2;0
119;Reagan;Horn;1196;860;878;604;2;0
120;Chelsea;Davidson;1244;621;647;897;2;0
121;Walter;Hamilton;1304;602;581;702;2;0
122;Baxter;Cash;1065;826;984;921;2;0
123;Raja;Soto;1180;904;917;990;2;0
124;Quamar;Ramsey;1214;973;899;995;2;0
125;Graiden;Robertson;1031;965;605;598;2;0
126;Mechelle;Peck;1482;594;762;722;2;0
127;Jameson;Ward;1251;744;907;906;2;0
128;Margaret;Stephenson;1250;838;788;980;2;0
129;Nash;Farrell;1463;631;991;750;2;0
130;Jaden;Cruz;1488;997;771;932;2;0
131;Damian;Gordon;1294;846;984;639;2;0
132;Christen;Rogers;1061;855;918;621;2;0
133;Elmo;Ramsey;1183;866;810;630;2;0
134;Vaughan;Roman;1280;565;898;938;2;0
135;Thane;Holt;1277;940;772;682;2;0
136;Merritt;Barker;1271;645;584;758;2;0
137;Cecilia;Davenport;1083;911;670;687;2;0
138;Vincent;Collins;1351;877;896;938;2;0
139;Alfonso;Gomez;1364;635;796;806;2;0
140;Adara;Kinney;1151;899;750;641;2;0
141;Russell;Galloway;1119;700;953;651;2;0
142;Chester;Chase;1414;722;843;898;2;0
143;Solomon;May;1259;889;887;647;2;0
144;Bethany;Townsend;1289;916;692;755;2;0
145;Tatum;Potter;1397;629;651;941;2;0
146;Jennifer;Morse;1467;668;689;881;2;0
147;Fatima;Shannon;1200;609;614;967;2;0
148;Imani;Burgess;1404;818;650;860;2;0
149;Ann;Rush;1425;648;925;731;2;0
150;Sloane;Dunlap;1358;756;593;716;2;0
151;Nero;Berger;1285;752;996;558;2;0
152;Whoopi;Good;1385;887;781;598;2;0
153;Desirae;Fernandez;1217;924;933;754;2;0
154;Bert;Ratliff;1408;938;677;702;2;0
155;Yardley;Arnold;1420;765;854;874;2;0
156;Veronica;Potts;1401;659;565;912;2;0
157;Nerea;Dean;1460;731;808;956;2;0
158;Phillip;Gross;1246;892;796;905;2;0
159;Dale;Cooley;1105;879;646;992;2;0
160;Judith;Burt;1413;626;566;611;2;0
161;Summer;Shelton;1200;582;622;837;2;0
162;Owen;Lee;1249;651;871;638;2;0
163;Sylvester;Rosales;1064;567;958;726;2;0
164;Holmes;Mack;1090;812;791;717;2;0
165;Louis;Joyner;1129;842;905;778;2;0
166;Raya;Arnold;1019;570;890;718;2;0
167;Francis;Lane;1125;941;792;894;2;0
168;John;Rhodes;1428;816;754;979;2;0
169;Len;Riddle;1491;915;677;729;2;0
170;Kiara;Curry;1126;878;921;605;2;0
171;Leonard;Lloyd;1443;582;823;844;2;0
172;Latifah;Kemp;1179;877;771;781;2;0
173;Xander;Soto;1356;695;586;601;2;0
174;Cadman;Talley;1499;647;590;708;2;0
175;Tarik;Gomez;1057;649;629;918;2;0
176;Lael;Wyatt;1026;814;634;773;2;0
177;Shelby;Morales;1334;822;869;752;2;0
178;Philip;Everett;1365;564;816;578;2;0
179;Cooper;Butler;1469;663;714;730;2;0
180;Lavinia;Todd;1317;718;873;793;2;0
181;Karleigh;Robles;1056;600;798;821;2;0
182;Jada;Contreras;1186;737;952;967;2;0
183;Randall;Rosario;1115;614;832;645;2;0
184;Chester;Marks;1499;705;877;987;2;0
185;Hadassah;Burgess;1000;825;582;639;2;0
186;Mark;Pacheco;1115;654;725;905;2;0
187;Gregory;Johnson;1013;832;883;815;2;0
188;Josephine;Wynn;1371;908;757;979;2;0
189;Benedict;Sandoval;1135;579;576;888;2;0
190;Jonas;Lopez;1139;971;652;681;2;0
191;Eleanor;Velazquez;1267;924;822;946;2;0
192;Dominique;Kim;1102;824;583;824;2;0
193;Oren;Jenkins;1222;829;744;777;2;0
194;Geraldine;Lindsay;1264;736;725;969;2;0
195;Nehru;Haynes;1034;750;757;905;2;0
196;Bell;Carver;1183;566;607;586;2;0
197;Violet;Lowery;1226;889;781;831;2;0
198;Leslie;Anthony;1479;633;957;592;2;0
199;Edward;Shaffer;1192;981;816;646;2;0
200;Orlando;Snow;1340;642;810;840;2;0
